Fib_Angle,Ply_Layers,E1/E2,Winkler,Pasternak,Rx,Ry,a/h,Skew_Angle,Poisson_R,Omega,Strat_cat
90.0,8,15.0,0.0,0.0,0.4,0.4,5.0,0.0,0.25,9.1629,EF0_Spherical
45.0,16,40.0,0.0,0.0,1.0,1.0,75.0,15.0,0.25,159.8257,EF0_Spherical
75.0,16,40.0,0.0,0.0,1.0,1.0,100.0,30.0,0.25,150.5267,EF0_Spherical
75.0,8,15.0,0.0,0.0,0.25,0.25,50.0,75.0,0.25,136.4164,EF0_Spherical
45.0,12,10.0,0.0,0.0,0.25,0.25,50.0,60.0,0.25,40.624,EF0_Spherical
90.0,16,40.0,0.0,0.0,0.8,0.8,10.0,75.0,0.25,19.2637,EF0_Spherical
45.0,16,75.0,0.0,0.0,0.8,0.8,10.0,15.0,0.25,40.568,EF0_Spherical
45.0,6,40.0,0.0,0.0,1.0,1.0,100.0,60.0,0.25,196.8084,EF0_Spherical
30.0,4,10.0,0.0,0.0,0.6,0.6,75.0,45.0,0.25,84.036,EF0_Spherical
60.0,12,40.0,0.0,0.0,0.8,0.8,100.0,45.0,0.25,145.2756,EF0_Spherical
15.0,4,5.0,0.0,0.0,0.6,0.6,75.0,5.0,0.25,56.9039,EF0_Spherical
90.0,16,90.0,0.0,0.0,0.4,0.4,10.0,30.0,0.25,23.114,EF0_Spherical
45.0,14,50.0,0.0,0.0,1.0,1.0,10.0,45.0,0.25,30.2696,EF0_Spherical
45.0,14,15.0,0.0,0.0,0.6,0.6,5.0,30.0,0.25,13.5651,EF0_Spherical
75.0,6,90.0,0.0,0.0,1.0,1.0,50.0,60.0,0.25,155.1987,EF0_Spherical
90.0,16,50.0,0.0,0.0,0.4,0.4,50.0,45.0,0.25,52.3388,EF0_Spherical
45.0,4,75.0,0.0,0.0,0.1,0.1,50.0,75.0,0.25,206.3265,EF0_Spherical
30.0,12,5.0,0.0,0.0,0.4,0.4,50.0,45.0,0.25,35.4434,EF0_Spherical
15.0,4,40.0,0.0,0.0,0.75,0.75,100.0,75.0,0.25,287.9932,EF0_Spherical
90.0,14,15.0,0.0,0.0,0.4,0.4,75.0,45.0,0.25,48.1938,EF0_Spherical
45.0,14,90.0,0.0,0.0,0.6,0.6,10.0,0.0,0.25,34.4144,EF0_Spherical
75.0,4,10.0,0.0,0.0,1.0,1.0,100.0,15.0,0.25,119.9945,EF0_Spherical
45.0,6,50.0,0.0,0.0,1.0,1.0,10.0,5.0,0.25,35.8795,EF0_Spherical
60.0,8,40.0,0.0,0.0,0.1,0.1,25.0,0.0,0.25,23.4654,EF0_Spherical
30.0,10,75.0,0.0,0.0,0.1,0.1,25.0,45.0,0.25,39.3012,EF0_Spherical
90.0,14,5.0,0.0,0.0,0.8,0.8,75.0,75.0,0.25,140.2835,EF0_Spherical
75.0,10,90.0,0.0,0.0,0.4,0.4,5.0,45.0,0.25,18.7658,EF0_Spherical
30.0,4,75.0,0.0,0.0,0.6,0.6,5.0,75.0,0.25,21.6874,EF0_Spherical
90.0,16,5.0,0.0,0.0,0.8,0.8,25.0,0.0,0.25,24.7773,EF0_Spherical
15.0,8,50.0,0.0,0.0,0.25,0.25,25.0,75.0,0.25,87.4932,EF0_Spherical
15.0,12,15.0,0.0,0.0,0.8,0.8,5.0,0.0,0.25,11.1028,EF0_Spherical
30.0,6,15.0,0.0,0.0,0.8,0.8,25.0,5.0,0.25,44.5513,EF0_Spherical
75.0,4,90.0,0.0,0.0,0.25,0.25,50.0,45.0,0.25,61.6236,EF0_Spherical
90.0,10,10.0,0.0,0.0,0.8,0.8,25.0,0.0,0.25,25.6405,EF0_Spherical
60.0,12,5.0,0.0,0.0,1.0,1.0,25.0,45.0,0.25,36.9788,EF0_Spherical
15.0,14,90.0,0.0,0.0,0.6,0.6,50.0,30.0,0.25,96.5244,EF0_Spherical
75.0,12,40.0,0.0,0.0,0.1,0.1,10.0,60.0,0.25,38.0527,EF0_Spherical
45.0,14,40.0,0.0,0.0,0.4,0.4,5.0,5.0,0.25,15.6172,EF0_Spherical
15.0,4,5.0,0.0,0.0,0.4,0.4,75.0,0.0,0.25,40.6596,EF0_Spherical
75.0,14,10.0,0.0,0.0,0.4,0.4,25.0,15.0,0.25,18.7723,EF0_Spherical
30.0,12,50.0,0.0,0.0,0.1,0.1,50.0,30.0,0.25,34.8586,EF0_Spherical
90.0,8,50.0,0.0,0.0,1.0,1.0,25.0,30.0,0.25,41.9288,EF0_Spherical
45.0,14,90.0,0.0,0.0,0.25,0.25,75.0,60.0,0.25,100.4698,EF0_Spherical
75.0,8,25.0,0.0,0.0,0.5,0.5,5.0,0.0,0.25,11.1406,EF0_Spherical
90.0,14,5.0,0.0,0.0,0.6,0.6,5.0,60.0,0.25,10.3789,EF0_Spherical
75.0,12,5.0,0.0,0.0,0.4,0.4,10.0,45.0,0.25,16.5258,EF0_Spherical
45.0,6,5.0,0.0,0.0,0.1,0.1,50.0,30.0,0.25,13.8759,EF0_Spherical
60.0,8,90.0,0.0,0.0,0.1,0.1,50.0,45.0,0.25,56.2374,EF0_Spherical
90.0,8,15.0,0.0,0.0,0.4,0.4,50.0,75.0,0.25,95.6012,EF0_Spherical
45.0,8,10.0,0.0,0.0,0.25,0.25,25.0,0.0,0.25,19.5479,EF0_Spherical
30.0,14,40.0,0.0,0.0,0.8,0.8,5.0,45.0,0.25,19.6618,EF0_Spherical
60.0,10,40.0,0.0,0.0,0.8,0.8,10.0,30.0,0.25,26.35,EF0_Spherical
15.0,10,40.0,0.0,0.0,0.1,0.1,50.0,0.0,0.25,22.355,EF0_Spherical
45.0,6,90.0,0.0,0.0,0.6,0.6,25.0,15.0,0.25,73.4406,EF0_Spherical
45.0,16,90.0,0.0,0.0,0.25,0.25,5.0,0.0,0.25,16.3057,EF0_Spherical
75.0,8,90.0,0.0,0.0,0.6,0.6,5.0,30.0,0.25,15.572,EF0_Spherical
60.0,4,90.0,0.0,0.0,1.0,1.0,100.0,75.0,0.25,398.3202,EF0_Spherical
60.0,8,15.0,0.0,0.0,0.1,0.1,100.0,75.0,0.25,166.113,EF0_Spherical
60.0,4,50.0,0.0,0.0,0.8,0.8,100.0,60.0,0.25,162.5805,EF0_Spherical
60.0,12,40.0,0.0,0.0,0.8,0.8,10.0,5.0,0.25,25.6679,EF0_Spherical
90.0,4,10.0,0.0,0.0,0.4,0.4,25.0,60.0,0.25,44.9585,EF0_Spherical
15.0,4,40.0,0.0,0.0,0.4,0.4,75.0,75.0,0.25,159.3454,EF0_Spherical
60.0,14,10.0,0.0,0.0,1.0,1.0,25.0,15.0,0.25,45.6811,EF0_Spherical
45.0,8,40.0,0.0,0.0,0.4,0.4,50.0,60.0,0.25,71.6982,EF0_Spherical
60.0,12,40.0,0.0,0.0,0.1,0.1,5.0,15.0,0.25,12.7742,EF0_Spherical
60.0,10,50.0,0.0,0.0,0.4,0.4,75.0,75.0,0.25,280.0518,EF0_Spherical
30.0,14,15.0,0.0,0.0,0.8,0.8,5.0,0.0,0.25,12.9432,EF0_Spherical
75.0,10,10.0,0.0,0.0,0.8,0.8,5.0,5.0,0.25,10.2728,EF0_Spherical
75.0,4,15.0,0.0,0.0,0.1,0.1,25.0,60.0,0.25,46.7466,EF0_Spherical
30.0,10,10.0,0.0,0.0,0.8,0.8,75.0,75.0,0.25,155.9844,EF0_Spherical
60.0,8,50.0,0.0,0.0,0.8,0.8,25.0,60.0,0.25,80.0728,EF0_Spherical
90.0,6,5.0,0.0,0.0,0.8,0.8,10.0,75.0,0.25,18.7157,EF0_Spherical
90.0,4,50.0,0.0,0.0,0.4,0.4,25.0,5.0,0.25,23.2103,EF0_Spherical
45.0,10,10.0,0.0,0.0,0.6,0.6,75.0,45.0,0.25,79.8164,EF0_Spherical
90.0,6,75.0,0.0,0.0,0.1,0.1,10.0,15.0,0.25,18.3231,EF0_Spherical
60.0,14,10.0,0.0,0.0,0.25,0.25,5.0,15.0,0.25,10.1206,EF0_Spherical
45.0,8,40.0,0.0,0.0,0.4,0.4,10.0,75.0,0.3,45.9599,EF0_Spherical
90.0,4,15.0,0.0,0.0,0.4,0.4,75.0,30.0,0.25,42.4837,EF0_Spherical
90.0,12,50.0,0.0,0.0,0.25,0.25,25.0,15.0,0.25,22.8032,EF0_Spherical
75.0,10,5.0,0.0,0.0,0.1,0.1,10.0,0.0,0.25,8.5876,EF0_Spherical
15.0,4,10.0,0.0,0.0,0.1,0.1,100.0,45.0,0.25,24.7363,EF0_Spherical
60.0,8,10.0,0.0,0.0,0.25,0.25,25.0,15.0,0.25,17.2071,EF0_Spherical
90.0,6,5.0,0.0,0.0,0.1,0.1,10.0,30.0,0.25,11.0607,EF0_Spherical
30.0,10,10.0,0.0,0.0,0.8,0.8,100.0,0.0,0.25,113.5001,EF0_Spherical
15.0,4,15.0,0.0,0.0,0.1,0.1,100.0,45.0,0.25,27.8817,EF0_Spherical
15.0,16,40.0,0.0,0.0,0.1,0.1,50.0,5.0,0.25,22.4749,EF0_Spherical
30.0,14,5.0,0.0,0.0,0.1,0.1,75.0,0.0,0.25,15.2407,EF0_Spherical
15.0,4,90.0,0.0,0.0,0.6,0.6,100.0,0.0,0.25,119.0455,EF0_Spherical
15.0,8,75.0,0.0,0.0,0.4,0.4,50.0,5.0,0.25,47.5556,EF0_Spherical
90.0,6,75.0,0.0,0.0,1.0,1.0,50.0,75.0,0.25,96.5177,EF0_Spherical
75.0,12,5.0,0.0,0.0,0.4,0.4,10.0,75.0,0.25,20.8198,EF0_Spherical
60.0,4,90.0,0.0,0.0,0.6,0.6,25.0,30.0,0.25,48.1149,EF0_Spherical
15.0,6,50.0,0.0,0.0,0.6,0.6,75.0,60.0,0.25,148.2878,EF0_Spherical
75.0,16,40.0,0.0,0.0,1.0,1.0,100.0,15.0,0.25,142.0021,EF0_Spherical
75.0,4,10.0,0.0,0.0,1.0,1.0,5.0,45.0,0.25,13.4256,EF0_Spherical
45.0,4,10.0,0.0,0.0,0.25,0.25,50.0,45.0,0.25,27.671,EF0_Spherical
15.0,8,90.0,0.0,0.0,0.25,0.25,100.0,60.0,0.25,135.9019,EF0_Spherical
30.0,16,90.0,0.0,0.0,1.0,1.0,5.0,75.0,0.25,22.529,EF0_Spherical
60.0,4,90.0,0.0,0.0,0.25,0.25,75.0,0.0,0.25,63.4511,EF0_Spherical
60.0,16,15.0,0.0,0.0,0.25,0.25,50.0,60.0,0.25,52.7718,EF0_Spherical
45.0,4,40.0,0.0,0.0,0.6,0.6,25.0,45.0,0.25,41.4045,EF0_Spherical
90.0,14,40.0,0.0,0.0,0.25,0.25,25.0,5.0,0.25,19.6642,EF0_Spherical
15.0,14,50.0,0.0,0.0,0.1,0.1,75.0,75.0,0.25,99.182,EF0_Spherical
90.0,14,50.0,0.0,0.0,0.8,0.8,50.0,75.0,0.25,96.4003,EF0_Spherical
